lat,lon,timezone,timezone_offset,clouds,dew_point,dt,feels_like,humidity,pressure,temp,visibility,wind_deg,wind_speed
54.6079,-5.9264,Europe/London,3600,100,8.8,1625097600,7.81,93,1020,9.88,4000,50,2.57
54.6079,-5.9264,Europe/London,3600,75,10.13,1625101200,8.77,100,1020,10.13,4600,70,2.06
54.6079,-5.9264,Europe/London,3600,75,9.56,1625104800,10.21,93,1020,10.64,6000,0,0.51
54.6079,-5.9264,Europe/London,3600,90,9.41,1625108400,9.66,93,1020,10.49,3800,90,1.03
54.6079,-5.9264,Europe/London,3600,90,9.29,1625112000,9.15,93,1019,10.37,1600,0,1.54
54.6079,-5.9264,Europe/London,3600,90,9.41,1625115600,9.3,93,1020,10.49,1100,0,1.54
54.6079,-5.9264,Europe/London,3600,90,9.56,1625119200,9.85,93,1020,10.64,700,120,1.03
54.6079,-5.9264,Europe/London,3600,90,11.63,1625122800,10.7,100,1019,11.63,4100,20,2.06
54.6079,-5.9264,Europe/London,3600,90,12.0,1625126400,13.2,94,1019,12.94,10000,0,0.51
54.6079,-5.9264,Europe/London,3600,40,12.74,1625130000,14.48,88,1020,14.71,10000,0,1.54
54.6079,-5.9264,Europe/London,3600,100,13.39,1625133600,14.63,88,1019,15.37,10000,20,2.57
54.6079,-5.9264,Europe/London,3600,100,12.08,1625137200,14.33,82,1018,15.13,10000,20,2.06
54.6079,-5.9264,Europe/London,3600,100,12.06,1625140800,15.28,77,1018,16.09,10000,10,2.06
54.6079,-5.9264,Europe/London,3600,100,11.71,1625144400,15.51,72,1018,16.78,10000,20,2.57
54.6079,-5.9264,Europe/London,3600,100,11.67,1625148000,17.58,63,1018,18.86,10000,10,2.57
54.6079,-5.9264,Europe/London,3600,40,11.58,1625151600,18.24,60,1017,19.55,10000,20,2.57
54.6079,-5.9264,Europe/London,3600,75,12.58,1625155200,19.24,60,1017,20.61,10000,20,3.09
54.6079,-5.9264,Europe/London,3600,75,13.56,1625158800,19.91,64,1017,20.6,10000,100,2.57
54.6079,-5.9264,Europe/London,3600,75,14.23,1625162400,19.66,72,1017,19.4,10000,0,1.54
54.6079,-5.9264,Europe/London,3600,33,14.23,1625166000,20.02,72,1016,19.4,10000,0,1.03
54.6079,-5.9264,Europe/London,3600,44,13.16,1625169600,16.4,77,1016,17.22,10000,130,2.57
54.6079,-5.9264,Europe/London,3600,41,11.77,1625173200,14.9,77,1017,15.79,10000,160,2.06
54.6079,-5.9264,Europe/London,3600,20,11.84,1625176800,13.28,88,1018,13.79,10000,130,1.54
54.6079,-5.9264,Europe/London,3600,75,12.06,1625180400,12.92,94,1018,13.0,8000,0,1.03
